G1;G2;G3;G4;G5;G6;G7;G8;G9
БАШКОРТОСТАН РЕСП;;УФА Г;;РОССИЙСКАЯ УЛ;33;4;-;10
БАШКОРТОСТАН РЕСП;;УФА Г;;МИРА УЛ;14;;;13
БАШКОРТОСТАН РЕСП;;УФА Г;;БЕХТЕРЕВА УЛ;16;;;11
БАШКОРТОСТАН РЕСП;;УФА Г;;КИРОВОГРАДСКАЯ УЛ;33;;;10
БАШКОРТОСТАН РЕСП;;УФА Г;;ЛЕСОТЕХНИКУМА УЛ;49;;5;10
БАШКОРТОСТАН РЕСП;;УФА Г;;ЛЕСОТЕХНИКУМА УЛ;49/1;;215А;11
БАШКОРТОСТАН РЕСП;;УФА Г;;ЛЕСОТЕХНИКУМА УЛ;49;1;;15
БАШКОРТОСТАН РЕСП;;УФА Г;;ИНТЕРНАЦИОНАЛЬНАЯ УЛ;133;А;;13
БАШКОРТОСТАН РЕСП;;УФА Г;;ИНТЕРНАЦИОНАЛЬНАЯ УЛ;105;1;;16
БАШКОРТОСТАН РЕСП;;УФА Г;;КОМСОМОЛЬСКАЯ УЛ;18;-;-;11
БАШКОРТОСТАН РЕСП;;УФА Г;;КОМСОМОЛЬСКАЯ УЛ;1;1;;12
БАШКОРТОСТАН РЕСП;;УФА Г;;КОМСОМОЛЬСКАЯ УЛ;2;;;15
БАШКОРТОСТАН РЕСП;;УФА Г;;КАРАИДЕЛЬСКАЯ УЛ;2;;8;10
БАШКОРТОСТАН РЕСП;;УФА Г;;ГВАРДЕЙСКАЯ УЛ;56;6;;10
БАШКОРТОСТАН РЕСП;;УФА Г;;ПУТЕЙСКАЯ УЛ;25;;;10
БАШКОРТОСТАН РЕСП;;УФА Г;;ПУТЕЙСКАЯ УЛ;6/1;;;13
БАШКОРТОСТАН РЕСП;;УФА Г;;СЛАВЫ Б-Р;6;;;10
БАШКОРТОСТАН РЕСП;;УФА Г;;8 МАРТА УЛ;12;2;;10
БАШКОРТОСТАН РЕСП;;УФА Г;;ДАГЕСТАНСКАЯ УЛ;12;;;10
БАШКОРТОСТАН РЕСП;;ОКТЯБРЬСКИЙ Г;;КОСМОНАВТОВ УЛ;30;1;;10
БАШКОРТОСТАН РЕСП;;ОКТЯБРЬСКИЙ Г;;ТРУДОВАЯ УЛ;1;;;10
БАШКОРТОСТАН РЕСП;;ОКТЯБРЬСКИЙ Г;;ЧАПАЕВА УЛ;23;;;10
БАШКОРТОСТАН РЕСП;;САЛАВАТ Г;;КРАСНОАРМЕЙСКАЯ УЛ;12;;;10
БАШКОРТОСТАН РЕСП;;САЛАВАТ Г;;ЛЕНИНА УЛ;2;;;12
БАШКОРТОСТАН РЕСП;;САЛАВАТ Г;;ОКТЯБРЬСКАЯ УЛ;62;А;;10
БАШКОРТОСТАН РЕСП;;САЛАВАТ Г;;МОЛОДОГВАРДЕЙЦЕВ УЛ;30;;;13
БАШКОРТОСТАН РЕСП;;СТЕРЛИТАМАК Г;;ФУРМАНОВА УЛ;18;;;16
БАШКОРТОСТАН РЕСП;;СТЕРЛИТАМАК Г;;НОВАЯ УЛ;42;;;10
БАШКОРТОСТАН РЕСП;;СТЕРЛИТАМАК Г;;ДРУЖБЫ УЛ;28;А;;10
БАШКОРТОСТАН РЕСП;;СТЕРЛИТАМАК Г;;КАРЛА МАРКСА УЛ;101;;;10
БАШКОРТОСТАН РЕСП;УФИМСКИЙ Р-Н;;НИЖЕГОРОДКА С;ЧАПАЕВА УЛ;26;-;-;11
БАШКОРТОСТАН РЕСП;УФИМСКИЙ Р-Н;;МИХАЙЛОВКА С;ЛЕНИНА УЛ;46;-;-;11
БАШКОРТОСТАН РЕСП;БЛАГОВЕЩЕНСКИЙ Р-Н;БЛАГОВЕЩЕНСК Г;;КОММУНИСТИЧЕСКАЯ УЛ;12;;;12
БАШКОРТОСТАН РЕСП;ЗИЛАИРСКИЙ Р-Н;;ЗИЛАИР С;ГОЛУБЦОВА УЛ;108;;;10
БАШКОРТОСТАН РЕСП;ИШИМБАЙСКИЙ Р-Н;ИШИМБАЙ Г;;БЛОХИНА УЛ;7;;;10
БАШКОРТОСТАН РЕСП;ИШИМБАЙСКИЙ Р-Н;ИШИМБАЙ Г;;ЛЕНИНА ПР-КТ;60;---;---;10
БАШКОРТОСТАН РЕСП;КАРМАСКАЛИНСКИЙ Р-Н;;КАРМАСКАЛЫ С;КИРОВА УЛ;15;;;11
БАШКОРТОСТАН РЕСП;КУЮРГАЗИНСКИЙ Р-Н;;ЕРМОЛАЕВО С;МИРА ПР-КТ;10;;;11
БАШКОРТОСТАН РЕСП;МЕЧЕТЛИНСКИЙ Р-Н;;БОЛЬШЕУСТЬИКИНСКОЕ С;ЛЕНИНА УЛ;20;;;11
БУРЯТИЯ РЕСП;;УЛАН-УДЭ Г;;ДЗЕРЖИНСКОГО УЛ;1;;;10
БУРЯТИЯ РЕСП;;УЛАН-УДЭ Г;;ЕРБАНОВА УЛ;11;;505/9;17
БУРЯТИЯ РЕСП;;УЛАН-УДЭ Г;;ЖЕРДЕВА УЛ;10А;;;11
БУРЯТИЯ РЕСП;;УЛАН-УДЭ Г;;КЛЮЧЕВСКАЯ УЛ;144;;;10
БУРЯТИЯ РЕСП;;УЛАН-УДЭ Г;;КОММУНИСТИЧЕСКАЯ УЛ;49;;;12
БУРЯТИЯ РЕСП;;УЛАН-УДЭ Г;;СМОЛИНА УЛ;81;;;10
БУРЯТИЯ РЕСП;;УЛАН-УДЭ Г;;СМОЛИНА УЛ;54 А;;;12
БУРЯТИЯ РЕСП;;УЛАН-УДЭ Г;;ТРАКТОВАЯ УЛ;1;;;12
БУРЯТИЯ РЕСП;;УЛАН-УДЭ Г;;САХЬЯНОВОЙ УЛ;9;;;12
БУРЯТИЯ РЕСП;;УЛАН-УДЭ Г;;САХЬЯНОВОЙ УЛ;5;;;12
БУРЯТИЯ РЕСП;;СЕВЕРОБАЙКАЛЬСК Г;;ЛЕНИНГРАДСКИЙ ПР-КТ;7;;;11
БУРЯТИЯ РЕСП;ЗАИГРАЕВСКИЙ Р-Н;;ЗАИГРАЕВО ПГТ;ОКТЯБРЬСКАЯ УЛ;4;;;10
БУРЯТИЯ РЕСП;КАБАНСКИЙ Р-Н;;КАБАНСК С;КИРОВА УЛ;10;-;-;10
БУРЯТИЯ РЕСП;КИЖИНГИНСКИЙ Р-Н;;КИЖИНГА С;КОММУНИСТИЧЕСКАЯ УЛ;12;;;13
БУРЯТИЯ РЕСП;СЕВЕРО-БАЙКАЛЬСКИЙ Р-Н;;НИЖНЕАНГАРСК ПГТ;РАБОЧАЯ УЛ;125;-;-;13
БУРЯТИЯ РЕСП;СЕЛЕНГИНСКИЙ Р-Н;ГУСИНООЗЕРСК Г;;ПУШКИНА УЛ;12;-;-;13
АЛТАЙ РЕСП;;ГОРНО-АЛТАЙСК Г;;КОММУНИСТИЧЕСКИЙ ПР-КТ;35;;;10
АЛТАЙ РЕСП;;ГОРНО-АЛТАЙСК Г;;КОМСОМОЛЬСКАЯ УЛ;9;;;12
АЛТАЙ РЕСП;;ГОРНО-АЛТАЙСК Г;;ПРОМЫШЛЕННАЯ УЛ;5;1;7;11
АЛТАЙ РЕСП;;ГОРНО-АЛТАЙСК Г;;СЕВЕРНАЯ УЛ;6;;;10
АЛТАЙ РЕСП;;ГОРНО-АЛТАЙСК Г;;ЧОРОС-ГУРКИНА Г.И. УЛ;29;;26;10
АЛТАЙ РЕСП;;ГОРНО-АЛТАЙСК Г;;ЧОРОС-ГУРКИНА Г.И. УЛ;29;;27;11
АЛТАЙ РЕСП;;ГОРНО-АЛТАЙСК Г;;ЧОРОС-ГУРКИНА Г.И. УЛ;38;;;11
АЛТАЙ РЕСП;;ГОРНО-АЛТАЙСК Г;;ЧОРОС-ГУРКИНА Г.И. УЛ;29;;;35
АЛТАЙ РЕСП;ШЕБАЛИНСКИЙ Р-Н;;ШЕБАЛИНО С;СОВЕТСКАЯ УЛ;19;;;10
ДАГЕСТАН РЕСП;;МАХАЧКАЛА Г;;МАГОМЕДА ЯРАГСКОГО УЛ;71;;;10
ДАГЕСТАН РЕСП;;МАХАЧКАЛА Г;;МАГОМЕДА ЯРАГСКОГО УЛ;34;;;12
ДАГЕСТАН РЕСП;;МАХАЧКАЛА Г;;АМЕТ-ХАНА СУЛТАНА ПР-КТ;10 КМ;;;12
ДАГЕСТАН РЕСП;;МАХАЧКАЛА Г;;КЕРИМОВА УЛ;7;---;---;14
ДАГЕСТАН РЕСП;;МАХАЧКАЛА Г;;КЕРИМОВА УЛ;7;;;15
ДАГЕСТАН РЕСП;;МАХАЧКАЛА Г;;БАТЫРАЯ УЛ;56;;;10
ДАГЕСТАН РЕСП;;МАХАЧКАЛА Г;;НАСРУТДИНОВА ПР-КТ;1;А;;14
ДАГЕСТАН РЕСП;;МАХАЧКАЛА Г;;ДЗЕРЖИНСКОГО УЛ;17;Б;;19
ДАГЕСТАН РЕСП;;МАХАЧКАЛА Г;;ЗАМАНОВА УЛ;6;---;---;10
ДАГЕСТАН РЕСП;;МАХАЧКАЛА Г;;ИРЧИ КАЗАКА УЛ;41;А;;14
ДАГЕСТАН РЕСП;;МАХАЧКАЛА Г;;ИРЧИ КАЗАКА УЛ;2;Б;;15
ДАГЕСТАН РЕСП;;МАХАЧКАЛА Г;;ИРЧИ КАЗАКА УЛ;31;;;23
ДАГЕСТАН РЕСП;;МАХАЧКАЛА Г;;АЛИ-ГАДЖИ АКУШИНСКОГО ПР-КТ;109;;;10
ДАГЕСТАН РЕСП;;МАХАЧКАЛА Г;;АЛИ-ГАДЖИ АКУШИНСКОГО ПР-КТ;18;---;---;11
ДАГЕСТАН РЕСП;;МАХАЧКАЛА Г;;АЛИ-ГАДЖИ АКУШИНСКОГО ПР-КТ;28;---;---;13
ДАГЕСТАН РЕСП;;МАХАЧКАЛА Г;;ИМАМА ШАМИЛЯ ПР-КТ;58;;;10
ДАГЕСТАН РЕСП;;МАХАЧКАЛА Г;;РАСУЛА ГАМЗАТОВА ПР-КТ;1;;;12
ДАГЕСТАН РЕСП;;МАХАЧКАЛА Г;;РАСУЛА ГАМЗАТОВА ПР-КТ;2;;;15
ДАГЕСТАН РЕСП;;МАХАЧКАЛА Г;;ДАНИЯЛОВА УЛ;12;---;---;11
ДАГЕСТАН РЕСП;;МАХАЧКАЛА Г;;ДАНИЯЛОВА УЛ;18;;;11
ДАГЕСТАН РЕСП;;МАХАЧКАЛА Г;;ПОРТОВСКОЕ ШОССЕ УЛ;5;---;---;23
ДАГЕСТАН РЕСП;;МАХАЧКАЛА Г;;УМАХАНОВА УЛ;12;;;14
ДАГЕСТАН РЕСП;;МАХАЧКАЛА Г;;АБУБАКАРОВА УЛ;67;;;12
ДАГЕСТАН РЕСП;;МАХАЧКАЛА Г;;АБУБАКАРОВА УЛ;115;;;17
ДАГЕСТАН РЕСП;;МАХАЧКАЛА Г;;АБУБАКАРОВА УЛ;115;;;20
ДАГЕСТАН РЕСП;;МАХАЧКАЛА Г;;СЕПАРАТОРНАЯ УЛ;1;---;---;10
ДАГЕСТАН РЕСП;;МАХАЧКАЛА Г;;АЗИЗОВА УЛ;5;;;10
ДАГЕСТАН РЕСП;;МАХАЧКАЛА Г;;ДАХАДАЕВА УЛ;73;;;12
ДАГЕСТАН РЕСП;;МАХАЧКАЛА Г;;ДАХАДАЕВА УЛ;88;;;12
ДАГЕСТАН РЕСП;;МАХАЧКАЛА Г;;ДАХАДАЕВА УЛ;136;;;18
ДАГЕСТАН РЕСП;;МАХАЧКАЛА Г;;МАГОМЕТА ГАДЖИЕВА УЛ;43А;;;10
ДАГЕСТАН РЕСП;;МАХАЧКАЛА Г;;ГАМИДОВА ПР-КТ;16;;;10
ДАГЕСТАН РЕСП;;ИЗБЕРБАШ Г;;ЛЕНИНА ПР-КТ;2;;;11
ДАГЕСТАН РЕСП;;КАСПИЙСК Г;;ЛЕНИНА УЛ;53;;;10
ДАГЕСТАН РЕСП;;КАСПИЙСК Г;;ОРДЖОНИКИДЗЕ УЛ;14;А;;11
ДАГЕСТАН РЕСП;;КАСПИЙСК Г;;АМЕТ-ХАН СУЛТАНА УЛ;21;;;10
ДАГЕСТАН РЕСП;;КАСПИЙСК Г;;АЛФЕРОВА УЛ;2;;;10
ДАГЕСТАН РЕСП;;КАСПИЙСК Г;;М.ОМАРОВА ПР-КТ;11;;2;11
ДАГЕСТАН РЕСП;;КАСПИЙСК Г;;КИРПИЧНОЕ Ш;1;;;10
ДАГЕСТАН РЕСП;;ДЕРБЕНТ Г;;345 ДАГЕСТАНСКОЙ СТРЕЛКОВОЙ ДИВИЗИИ УЛ;8-Г;;;13
ДАГЕСТАН РЕСП;;КИЗЛЯР Г;;СОВЕТСКАЯ УЛ;13;;;10
ДАГЕСТАН РЕСП;;БУЙНАКСК Г;;ЛЕНИНА УЛ;61;;;12
ДАГЕСТАН РЕСП;АХВАХСКИЙ Р-Н;;АНЧИХ С;АНЧИХСКАЯ УЛ;6;А;;11
ДАГЕСТАН РЕСП;ДОКУЗПАРИНСКИЙ Р-Н;;УСУХЧАЙ С;Х.Д.ЗАМАНОВА УЛ;2;;;11
ДАГЕСТАН РЕСП;МАГАРАМКЕНТСКИЙ Р-Н;;МАГАРАМКЕНТ С;ГАГАРИНА УЛ;2;;;13
ДАГЕСТАН РЕСП;ТАРУМОВСКИЙ Р-Н;;ТАРУМОВКА С;СОВЕТСКАЯ УЛ;17;;;12
КАБАРДИНО-БАЛКАРСКАЯ РЕСП;;НАЛЬЧИК Г;;БАЙСУЛТАНОВА УЛ;32;;;10
КАБАРДИНО-БАЛКАРСКАЯ РЕСП;;НАЛЬЧИК Г;;АРМАНД УЛ;43;-;-;10
КАБАРДИНО-БАЛКАРСКАЯ РЕСП;;НАЛЬЧИК Г;;КАБАРДИНСКАЯ УЛ;162;;;12
КАБАРДИНО-БАЛКАРСКАЯ РЕСП;;НАЛЬЧИК Г;;КАБАРДИНСКАЯ УЛ;158;-;-;12
КАБАРДИНО-БАЛКАРСКАЯ РЕСП;;НАЛЬЧИК Г;;КУЛИЕВА ПР-КТ;2;-;-;11
КАБАРДИНО-БАЛКАРСКАЯ РЕСП;;НАЛЬЧИК Г;;ЛЕНИНА ПР-КТ;53;-;-;10
КАБАРДИНО-БАЛКАРСКАЯ РЕСП;;НАЛЬЧИК Г;;ЛЕНИНА ПР-КТ;57;;;11
КАБАРДИНО-БАЛКАРСКАЯ РЕСП;;НАЛЬЧИК Г;;МУСУКАЕВА УЛ;1;-;-;11
КАБАРДИНО-БАЛКАРСКАЯ РЕСП;;НАЛЬЧИК Г;;ПУШКИНА УЛ;101;;;11
КАБАРДИНО-БАЛКАРСКАЯ РЕСП;;НАЛЬЧИК Г;;ТАРЧОКОВА УЛ;50;;;10
КАБАРДИНО-БАЛКАРСКАЯ РЕСП;;НАЛЬЧИК Г;;ЦИОЛКОВСКОГО УЛ;7;-;-;14
КАБАРДИНО-БАЛКАРСКАЯ РЕСП;;БАКСАН Г;;РЕВОЛЮЦИОННАЯ УЛ;2/1;;;11
КАБАРДИНО-БАЛКАРСКАЯ РЕСП;ЧЕГЕМСКИЙ Р-Н;ЧЕГЕМ Г;;БАКСАНСКОЕ Ш;3;;;11
КАБАРДИНО-БАЛКАРСКАЯ РЕСП;ЛЕСКЕНСКИЙ Р-Н;;АНЗОРЕЙ С;ШИНАХОВА УЛ;1;А;;10
КАЛМЫКИЯ РЕСП;;ЭЛИСТА Г;;А.С.ПУШКИНА УЛ;11;;;13
КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСП;;ЧЕРКЕССК Г;;КАВКАЗСКАЯ УЛ;19;;;22
КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСП;;ЧЕРКЕССК Г;;КИРОВА ПЛ;1;;;11
КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСП;;ЧЕРКЕССК Г;;КИРОВА ПЛ;23;;;18
КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСП;;ЧЕРКЕССК Г;;ПЕРВОМАЙСКАЯ УЛ;47;;;11
КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСП;;ЧЕРКЕССК Г;;КОМСОМОЛЬСКАЯ УЛ;23;;;10
КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСП;;КАРАЧАЕВСК Г;;ЧКАЛОВА УЛ;1;А;;13
КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСП;;КАРАЧАЕВСК Г;;ЧКАЛОВА УЛ;1;;;19
КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСП;МАЛОКАРАЧАЕВСКИЙ Р-Н;;УЧКЕКЕН С;ЛЕНИНА УЛ;120;;;15
КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСП;ПРИКУБАНСКИЙ Р-Н;;КАВКАЗСКИЙ П;ЛЕНИНА ПР-КТ;26;;;15
КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСП;УСТЬ-ДЖЕГУТИНСКИЙ Р-Н;УСТЬ-ДЖЕГУТА Г;;МОРОЗОВА УЛ;47;-;-;11
КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСП;АБАЗИНСКИЙ Р-Н;;ИНЖИЧ-ЧУКУН АУЛ;ЛЕНИНА УЛ;1;;;10
КАРЕЛИЯ РЕСП;;ПЕТРОЗАВОДСК Г;;АНДРОПОВА (ЦЕНТР Р-Н) УЛ;15;;401;10
